"headID","aka","site","year","inPhen","inSeedSet","inStylePersist","reconcileNote"
"9651","nb15","nwlf",1996,NA,NA,NA,""
"9656","fk27","nwlf",1996,NA,NA,NA,""
"9657","iz46","nwlf",1996,NA,NA,NA,""
"9664","ha51","nwlf",1996,NA,NA,NA,""
"9665","re46","nwlf",1996,NA,NA,NA,""
"9666","yc82","nwlf",1996,NA,NA,NA,""
"9670","jx28","nwlf",1996,1,NA,1,""
"9679","wb61","nwlf",1996,NA,NA,NA,""
"9680","sf21","nwlf",1996,NA,NA,NA,""
"9683","yt08","nwlf",1996,1,NA,1,""
"9686","sz27","btg",1996,1,1,1,""
"9687","zt10","btg",1996,NA,NA,NA,""
"9690","iz77","aa",1996,NA,NA,NA,""
"9691","rh02","aa",1996,NA,NA,NA,""
"9692","te25","aa",1996,1,NA,1,""
"9693","xf42","aa",1996,NA,NA,NA,""
"9694","xy84","aa",1996,NA,NA,NA,""
"96101","bw14","lf",1996,NA,NA,NA,""
"96105","uw42","lf",1996,NA,NA,NA,""
"96106","ed01","lf",1996,1,NA,1,""
"96108","","lf",1996,NA,NA,NA,""
"96109","fc02","lf",1996,NA,NA,NA,""
"96110","ez22","lf",1996,NA,NA,NA,""
"96111","","lf",1996,NA,NA,NA,""
"96114","","lf",1996,NA,NA,NA,""
"96115","sg34","lf",1996,NA,NA,NA,""
"96124","yc85","lf",1996,1,1,1,""
"96125","mc56","lf",1996,NA,NA,NA,""
"96126","gq50","lf",1996,1,1,1,""
"96127","ti94","lf",1996,NA,NA,NA,""
"96128","gf30","lf",1996,NA,NA,NA,""
"96129","nx62","lf",1996,NA,NA,NA,""
"96131","pi34","lf",1996,NA,NA,NA,""
"96132","kx07","lf",1996,NA,NA,NA,""
"96135","ki31","lf",1996,NA,NA,NA,""
"96136","ib17","lf",1996,NA,NA,NA,""
"96139","","lf",1996,NA,NA,NA,""
"96141","fr98","lf",1996,NA,NA,NA,""
"96142","ue38","lf",1996,NA,NA,NA,""
"96143","ue38","lf",1996,NA,NA,NA,""
"96144","","lf",1996,NA,NA,NA,""
"96145","ax79","lf",1996,NA,NA,NA,""
