"headID","year","startDtEarly","startDtLate","endDtEarly","endDtLate","phenNote","prematureEnd","prematureEndCause"
"10111-clr-2013",2013,"2013-07-23","2013-07-23","2013-08-06","2013-08-06","4sb; 1sb",NA,""
"10111-red-2013",2013,"2013-07-31","2013-07-31","2013-08-16","2013-08-16","ant",NA,""
"10111-bac-2013",2013,"2013-07-25","2013-07-25","2013-08-09","2013-08-09","2sb; 1sb; ant",NA,""
"14204-red-2013",2013,"2013-07-12","2013-07-12","2013-07-21","2013-07-21","head broken off",NA,""
"14539-yel-2013",2013,"2013-07-11","2013-07-11","2013-07-25","2013-07-25","S edge; plant SE 30cm prob won't flower",NA,""
"14539-blu-2013",2013,"2013-07-09","2013-07-09","2013-07-20","2013-07-20","ant",NA,""
"13808-bac-2013",2013,"2013-07-15","2013-07-15","2013-07-25","2013-07-25","ant",NA,""
"18002-red-2013",2013,"2013-07-19","2013-07-19","2013-08-01","2013-08-01","ant; aphid",NA,""
"14006-wht-2013",2013,"2013-07-26","2013-07-26","2013-08-12","2013-08-12","",NA,""
"8067-red-2013",2013,"2013-07-16","2013-07-16","2013-07-27","2013-07-27","",NA,""
"18128-blu-2013",2013,"2013-07-18","2013-07-18","2013-08-01","2013-08-01","prev. tag gone, old wire collected",NA,""
"18128-yel-2013",2013,"2013-07-12","2013-07-12","2013-07-22","2013-07-22","uneven flowering; inchworm",NA,""
"12357-clr-2013",2013,"2013-07-13","2013-07-13","2013-07-22","2013-07-22","ant",NA,""
"8350-grn-2013",2013,"2013-07-11","2013-07-11","2013-07-22","2013-07-22","[assigned aka for tag 8370 gk 7Jan2015]",NA,""
"8350-red-2013",2013,"2013-07-20","2013-07-20","2013-07-29","2013-07-29","[assigned aka for tag 8370 gk 7Jan2015]",NA,""
"15891-wht-2013",2013,"2013-07-12","2013-07-12","2013-07-21","2013-07-21","in road",NA,""
"12964-red-2013",2013,"2013-07-11","2013-07-11","2013-07-24","2013-07-24","in road;",NA,""
"12964-yel-2013",2013,"2013-07-14","2013-07-14","2013-08-02","2013-08-02","",NA,""
"12964-grn-2013",2013,"2013-07-15","2013-07-15","2013-08-07","2013-08-07","",NA,""
"12964-blu-2013",2013,"2013-07-13","2013-07-13","2013-07-30","2013-07-30","1sb",NA,""
"12964-bac-2013",2013,"2013-07-13","2013-07-13","2013-07-27","2013-07-27","",NA,""
"12964-blured-2013",2013,"2013-07-17","2013-07-17","2013-08-04","2013-08-04","",NA,""
"12964-grnyel-2013",2013,"2013-07-18","2013-07-18","2013-08-05","2013-08-05","",NA,""
"12964-bacwht-2013",2013,"2013-07-14","2013-07-14","2013-08-02","2013-08-02","1sb; ant",NA,""
"12964-grnred-2013",2013,"2013-07-11","2013-07-11","2013-07-25","2013-07-25","",NA,""
"12964-yelred-2013",2013,"2013-07-16","2013-07-16","2013-08-04","2013-08-04","",NA,""
"12964-bacgrn-2013",2013,"2013-07-16","2013-07-16","2013-08-09","2013-08-09","",NA,""
"18123-bac-2013",2013,"2013-07-09","2013-07-09","2013-07-20","2013-07-20","ant; in road",NA,""
"6157-blu-2013",2013,"2013-07-12","2013-07-12","2013-07-25","2013-07-25","ant; aphid",NA,""
"6157-clr-2013",2013,"2013-07-10","2013-07-10","2013-07-22","2013-07-22","",NA,""
"6157-bac-2013",2013,"2013-07-12","2013-07-12","2013-07-23","2013-07-23","",NA,""
"17220-red-2013",2013,"2013-07-08","2013-07-08","2013-07-16","2013-07-16","",NA,""
"17220-yel-2013",2013,"2013-07-06","2013-07-06","2013-07-14","2013-07-14","",NA,""
"14155-blu-2013",2013,"2013-07-12","2013-07-12","2013-07-20","2013-07-20","",NA,""
"14142-bac-2013",2013,"2013-07-10","2013-07-10","2013-07-18","2013-07-18","",NA,""
"14142-grn-2013",2013,"2013-07-08","2013-07-08","2013-07-21","2013-07-21","ant; aphid",NA,""
"14142-wht-2013",2013,"2013-07-06","2013-07-06","2013-07-17","2013-07-17","",NA,""
"14142-red-2013",2013,"2013-07-06","2013-07-06","2013-07-16","2013-07-16","",NA,""
"17153-yel-2013",2013,"2013-07-07","2013-07-07","2013-07-18","2013-07-18","",NA,""
"14177-yel-2013",2013,"2013-07-13","2013-07-13","2013-07-27","2013-07-27","ant; aphid",NA,""
"14177-wht-2013",2013,"2013-07-15","2013-07-15","2013-08-01","2013-08-01","",NA,""
"14177-grn-2013",2013,"2013-07-13","2013-07-13","2013-07-22","2013-07-22","",NA,""
"14909-red-2013",2013,"2013-07-10","2013-07-10","2013-07-18","2013-07-18","",NA,""
"18007-blu-2013",2013,"2013-07-09","2013-07-09","2013-07-23","2013-07-23","ant; aphid",NA,""
"18007-clr-2013",2013,"2013-07-12","2013-07-12","2013-07-24","2013-07-24","ant; aphid",NA,""
"17597-yel-2013",2013,"2013-07-11","2013-07-11","2013-07-20","2013-07-20","",NA,""
